distance,speed,brake_pressure
0,0,6.000000000000001
1,0,6.000000000000001
2,0,6.000000000000001
3,0,6.0
4,0,6.000000000000001
5,0,6.0
6,0,6.000000000000001
7,0,6.0
8,0,6.0
9,0,5.999999999999999
10,0,6.0
11,0,5.376134453781513
12,0,4.879999999999999
13,0,4.4639999999999995
14,0,4.098285714285714
15,0,3.762237762237762
16,0,3.4400000000000004
17,0,3.1177622377622374
18,0,2.7817142857142856
19,0,2.416
20,0,1.9999999999999998
21,0,2.0000000000000004
22,0,2.0
23,0,1.9999999999999998
24,0,2.0000000000000004
25,0,2.0
26,0,2.0000000000000004
27,0,1.9999999999999998
28,0,2.0
29,0,2.0000000000000004
30,0,1.9999999999999998
31,0,2.0000000000000004
32,0,2.0
33,0,1.9999999999999998
34,0,2.0
35,0,2.0
36,0,2.0
37,0,1.9999999999999998
38,0,2.0
39,0,2.0000000000000004
40,0,1.9999999999999998
41,0,2.0000000000000004
42,0,2.0
43,0,1.9999999999999998
44,0,2.0000000000000004
45,0,2.0
46,0,2.0000000000000004
47,0,1.9999999999999998
48,0,2.0
49,0,2.0000000000000004
50,0,1.9999999999999998
51,0,2.0000000000000004
52,0,2.0
53,0,1.9999999999999998
54,0,2.0
55,0,2.0
56,0,2.0
57,0,1.9999999999999998
58,0,2.0
59,0,2.0000000000000004
60,0,1.9999999999999998
61,0,2.0000000000000004
62,0,2.0
63,0,1.9999999999999998
64,0,2.0000000000000004
65,0,2.0
66,0,2.0000000000000004
67,0,1.9999999999999998
68,0,2.0
69,0,2.0000000000000004
70,0,1.9999999999999998
71,0,2.0000000000000004
72,0,2.0
73,0,1.9999999999999998
74,0,2.0
75,0,2.0
76,0,2.0000000000000004
77,0,2.0
78,0,2.0
79,0,2.0
80,0,1.9999999999999998
81,0,2.0
82,0,2.0
83,0,2.0
84,0,2.0000000000000004
85,0,2.0
86,0,2.0000000000000004
87,0,2.0
88,0,2.0000000000000004
89,0,2.0
90,0,2.0
91,0,2.0000000000000004
92,0,2.0
93,0,2.0
94,0,2.0
95,0,2.0
96,0,2.0
97,0,2.0000000000000004
98,0,2.0
99,0,2.0000000000000004
0,1,6.000000000000002
1,1,6.000000000000001
2,1,6.000000000000001
3,1,6.0
4,1,6.000000000000001
5,1,6.0
6,1,6.000000000000001
7,1,6.0
8,1,6.0
9,1,5.999999999999999
10,1,6.0
11,1,5.376134453781513
12,1,4.879999999999999
13,1,4.4639999999999995
14,1,4.098285714285714
15,1,3.762237762237762
16,1,3.4400000000000004
17,1,3.1177622377622374
18,1,2.7817142857142856
19,1,2.416
20,1,1.9999999999999998
21,1,2.0000000000000004
22,1,2.0
23,1,1.9999999999999998
24,1,2.0000000000000004
25,1,1.9999999999999998
26,1,2.0000000000000004
27,1,1.9999999999999998
28,1,2.0
29,1,2.0000000000000004
30,1,1.9999999999999998
31,1,2.0000000000000004
32,1,2.0
33,1,1.9999999999999998
34,1,2.0
35,1,2.0
36,1,2.0
37,1,1.9999999999999998
38,1,2.0
39,1,2.0000000000000004
40,1,1.9999999999999998
41,1,2.0000000000000004
42,1,2.0
43,1,1.9999999999999998
44,1,2.0000000000000004
45,1,1.9999999999999998
46,1,2.0000000000000004
47,1,1.9999999999999998
48,1,2.0
49,1,2.0000000000000004
50,1,1.9999999999999998
51,1,2.0000000000000004
52,1,2.0
53,1,1.9999999999999998
54,1,2.0
55,1,2.0
56,1,2.0
57,1,1.9999999999999998
58,1,2.0
59,1,2.0000000000000004
60,1,1.9999999999999998
61,1,2.0000000000000004
62,1,2.0
63,1,1.9999999999999998
64,1,2.0000000000000004
65,1,1.9999999999999998
66,1,2.0000000000000004
67,1,1.9999999999999998
68,1,2.0
69,1,2.0000000000000004
70,1,1.9999999999999998
71,1,2.0000000000000004
72,1,2.0
73,1,1.9999999999999998
74,1,2.0
75,1,2.0
76,1,2.0000000000000004
77,1,2.0
78,1,2.0
79,1,2.0
80,1,1.9999999999999998
81,1,2.0
82,1,2.0
83,1,2.0
84,1,2.0000000000000004
85,1,2.0
86,1,2.0000000000000004
87,1,2.0
88,1,2.0000000000000004
89,1,2.0
90,1,2.0
91,1,2.0000000000000004
92,1,2.0
93,1,2.0
94,1,2.0
95,1,2.0
96,1,2.0
97,1,2.0000000000000004
98,1,2.0
0,2,6.000000000000001
1,2,6.000000000000001
2,2,6.000000000000001
3,2,6.0
4,2,6.000000000000001
5,2,6.0
6,2,6.000000000000001
7,2,6.0
8,2,6.0
9,2,5.999999999999999
10,2,6.0
11,2,5.376134453781513
12,2,4.879999999999999
13,2,4.4639999999999995
14,2,4.098285714285714
15,2,3.762237762237762
